NULL	3077	42	1363	9
0	1	0	0	0
1	17	1	8	0
2	90	1	21	0
3	74	3	26	0
4	38	2	9	0
5	131	2	20	0
6	53	2	12	0
7	114	0	14	0
8	83	1	20	0
9	74	0	22	0
10	33	0	9	0
11	82	0	12	0
12	51	0	9	0
13	55	0	10	0
14	36	0	14	0
15	34	0	22	0
16	44	0	24	0
17	22	1	12	0
18	40	0	9	0
19	45	0	15	0
20	17	0	7	0
21	60	0	7	0
22	28	0	7	0
23	25	0	7	0
24	15	2	3	0
25	37	0	9	0
26	19	0	10	0
27	38	0	11	0
28	32	1	12	0
29	32	0	10	0
30	17	0	2	0
31	12	0	4	0
32	31	0	7	0
33	31	0	11	0
34	23	0	6	0
35	23	2	12	0
36	16	0	5	0
37	34	0	6	0
38	24	0	16	0
39	25	0	5	0
40	32	0	12	0
41	19	0	3	0
42	34	0	15	0
43	26	0	3	0
44	27	0	12	0
45	11	0	6	0
46	31	0	2	0
47	16	0	2	0
48	29	0	13	0
49	21	0	3	0
50	75	1	37	0
55	46	1	23	0
60	72	2	46	0
65	61	0	23	0
70	112	3	40	0
75	53	1	20	0
80	66	0	28	0
85	44	1	10	0
90	63	0	24	0
95	30	0	13	0
100	85	4	44	0
110	48	1	22	0
120	35	1	21	0
130	28	2	19	0
138	0	0	0	0
140	62	1	43	0
150	53	1	35	0
160	43	1	20	0
170	41	0	18	0
180	33	0	9	0
190	26	0	21	0
200	21	1	14	0
210	26	0	14	0
220	16	0	12	0
230	45	0	8	0
240	39	1	14	0
250	884	14	468	1
260	132	1	89	1
270	35	0	16	0
280	17	0	8	0
290	6	0	2	0
300	2	0	2	0
722	2803	36	1237	4
